text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
AMBASSADOR: John M. Steeves,AMBASSADOR: John M. Steeves,AMBASSADOR: John M. Steeves,AMBASSADOR, John M. Steeves,,John,M.,Steeves,,John,John Steeves
DEPUTY CHIEF OF MISSION: William D. Brewer,DEPUTY CHIEF OF MISSION: William D. Brewer,DEPUTY CHIEF OF MISSION: William D. Brewer,DEPUTY CHIEF OF MISSION, William D. Brewer,,William,D.,Brewer,,William,William Brewer
"POLITICAL SECTION: Howard J. Ashford, Jr.","POLITICAL SECTION: Howard J. Ashford, Jr.","POLITICAL SECTION: Howard J. Ashford, Jr.",POLITICAL SECTION," Howard J. Ashford, Jr.",,Howard,J.,Ashford,Jr.,Howard,Howard Ashford
AID MISSION DIRECTOR: Delmas H. Nucker,AID MISSION DIRECTOR: Delmas H. Nucker,AID MISSION DIRECTOR: Delmas H. Nucker,AID MISSION DIRECTOR, Delmas H. Nucker,,Delmas,H.,Nucker,,Delmas,Delmas Nucker
AMBASSADOR: William J. Porter,AMBASSADOR: William J. Porter,AMBASSADOR: William J. Porter,AMBASSADOR, William J. Porter,,William,J.,Porter,,William,William Porter
DEPUTY CHIEF OF MISSION: John F. Root,DEPUTY CHIEF OF MISSION: John F. Root,DEPUTY CHIEF OF MISSION: John F. Root,DEPUTY CHIEF OF MISSION, John F. Root,,John,F.,Root,,John,John Root
POLITICAL SECTION: Peter R. Chase,POLITICAL SECTION: Peter R. Chase,POLITICAL SECTION: Peter R. Chase,POLITICAL SECTION, Peter R. Chase,,Peter,R.,Chase,,Peter,Peter Chase
"ECONOMIC SECTION: Frederic K. Lundy, Jr.","ECONOMIC SECTION: Frederic K. Lundy, Jr.","ECONOMIC SECTION: Frederic K. Lundy, Jr.",ECONOMIC SECTION," Frederic K. Lundy, Jr.",,Frederic,K.,Lundy,Jr.,Frederic,Frederic Lundy
CONSULATE GENERAL: Luanda,CONSULATE GENERAL: Luanda,CONSULATE GENERAL: Luanda,CONSULATE GENERAL, Luanda,,Luanda,,,,Luanda,Luanda 
CONSUL GENERAL: Henry C. Reed,CONSUL GENERAL: Henry C. Reed,CONSUL GENERAL: Henry C. Reed,CONSUL GENERAL, Henry C. Reed,,Henry,C.,Reed,,Henry,Henry Reed
DEPUTY PRINCIPAL OFFICER: Robert H. Flenner,DEPUTY PRINCIPAL OFFICER: Robert H. Flenner,DEPUTY PRINCIPAL OFFICER: Robert H. Flenner,DEPUTY PRINCIPAL OFFICER, Robert H. Flenner,,Robert,H.,Flenner,,Robert,Robert Flenner
"ECONOMIC SECTION: George T. Colman, Jr.","ECONOMIC SECTION: George T. Colman, Jr.","ECONOMIC SECTION: George T. Colman, Jr.",ECONOMIC SECTION," George T. Colman, Jr.",,George,T.,Colman,Jr.,George,George Colman
AMBASSADOR: Edwin M. Martin,AMBASSADOR: Edwin M. Martin,AMBASSADOR: Edwin M. Martin,AMBASSADOR, Edwin M. Martin,,Edwin,M.,Martin,,Edwin,Edwin Martin
"DEPUTY CHIEF OF MISSION: Charles W. Adair, Jr.","DEPUTY CHIEF OF MISSION: Charles W. Adair, Jr.","DEPUTY CHIEF OF MISSION: Charles W. Adair, Jr.",DEPUTY CHIEF OF MISSION," Charles W. Adair, Jr.",,Charles,W.,Adair,Jr.,Charles,Charles Adair
"POLITICAL SECTION: Ellwood M. Rabenold, Jr.","POLITICAL SECTION: Ellwood M. Rabenold, Jr.","POLITICAL SECTION: Ellwood M. Rabenold, Jr.",POLITICAL SECTION," Ellwood M. Rabenold, Jr.",,Ellwood,M.,Rabenold,Jr.,Ellwood,Ellwood Rabenold
ECONOMIC SECTICN: John Heilman,ECONOMIC SECTICN: John Heilman,ECONOMIC SECTICN: John Heilman,ECONOMIC SECTICN, John Heilman,,John,,Heilman,,John,John Heilman
COMMERCIAL SECTION: John F. Troy,COMMERCIAL SECTION: John F. Troy,COMMERCIAL SECTION: John F. Troy,COMMERCIAL SECTION, John F. Troy,,John,F.,Troy,,John,John Troy
AGRICULTURAL ATTACHE: Quentin R. Bates,AGRICULTURAL ATTACHE: Quentin R. Bates,AGRICULTURAL ATTACHE: Quentin R. Bates,AGRICULTURAL ATTACHE, Quentin R. Bates,,Quentin,R.,Bates,,Quentin,Quentin Bates
DEPUTY CHIEF OF MISSION: Jack W. Lydman,DEPUTY CHIEF OF MISSION: Jack W. Lydman,DEPUTY CHIEF OF MISSION: Jack W. Lydman,DEPUTY CHIEF OF MISSION, Jack W. Lydman,,Jack,W.,Lydman,,Jack,Jack Lydman
POLITICAL SECTION: Doyle V. Martin,POLITICAL SECTION: Doyle V. Martin,POLITICAL SECTION: Doyle V. Martin,POLITICAL SECTION, Doyle V. Martin,,Doyle,V.,Martin,,Doyle,Doyle Martin
ECONOMIC SECTION: Eddie W. Schodt,ECONOMIC SECTION: Eddie W. Schodt,ECONOMIC SECTION: Eddie W. Schodt,ECONOMIC SECTION, Eddie W. Schodt,,Eddie,W.,Schodt,,Eddie,Eddie Schodt
AGRICULTURAL ATTACHE: William L. Rodman,AGRICULTURAL ATTACHE: William L. Rodman,AGRICULTURAL ATTACHE: William L. Rodman,AGRICULTURAL ATTACHE, William L. Rodman,,William,L.,Rodman,,William,William Rodman
CONSULATE GENERAL: Melbourne,CONSULATE GENERAL: Melbourne,CONSULATE GENERAL: Melbourne,CONSULATE GENERAL, Melbourne,,Melbourne,,,,Melbourne,Melbourne 
