text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
CHG;,CHG;,CHG; Hawthorne Q. Mills,CHG, Hawthorne Q. Mills,,Hawthorne,Q.,Mills,,Hawthorne,Hawthorne Mills
ADM:,ADM:,ADM: Ned E. Morris,ADM, Ned E. Morris,,Ned,E.,Morris,,Ned,Ned Morris
DCM:,DCM:,"DCM: Charles F. Dunbar, Jr.",DCM," Charles F. Dunbar, Jr.",,Charles,F.,Dunbar,Jr.,Charles,Charles Dunbar
RSO:,RSO:,RSO: James M. Crowe,RSO, James M. Crowe,,James,M.,Crowe,,James,James Crowe
AMB:,AMB:,AMB: Michael H. Newlin,AMB, Michael H. Newlin,,Michael,H.,Newlin,,Michael,Michael Newlin
ADM:,ADM:,ADM: Kenneth M. Chard,ADM, Kenneth M. Chard,,Kenneth,M.,Chard,,Kenneth,Kenneth Chard
DCM:,DCM:,DCM: Joseph,DCM, Joseph,,Joseph,,,,Joseph,Joseph 
AGR:,AGR:,AGR: Forrest K. Gheerkin,AGR, Forrest K. Gheerkin,,Forrest,K.,Gheerkin,,Forrest,Forrest Gheerkin
POL:,POL:,POL: Richard S. Thompson,POL, Richard S. Thompson,,Richard,S.,Thompson,,Richard,Richard Thompson
ECO:,ECO:,ECO: Ross C. Parr,ECO, Ross C. Parr,,Ross,C.,Parr,,Ross,Ross Parr
PAO:,PAO:,PAO: Edward T. Penney,PAO, Edward T. Penney,,Edward,T.,Penney,,Edward,Edward Penney
COM:,COM:,COM: Albert G. Nahas,COM, Albert G. Nahas,,Albert,G.,Nahas,,Albert,Albert Nahas
ODA.,ODA.,"ODA. Ltc.William M. Handley,",ODA," Ltc.William M. Handley,",Ltc.William,M.,,Handley,,, Handley
CON:,CON:,CON: Mary M. McAteer,CON, Mary M. McAteer,,Mary,M.,McAteer,,Mary,Mary McAteer
PO:,PO:,PO: Hal W. Pattison,PO, Hal W. Pattison,,Hal,W.,Pattison,,Hal,Hal Pattison
CON:,CON:,CON: Alejandro D. Wolff,CON, Alejandro D. Wolff,,Alejandro,D.,Wolff,,Alejandro,Alejandro Wolff
AMB:,AMB:,AMB: Milan D. Bish,AMB, Milan D. Bish,,Milan,D.,Bish,,Milan,Milan Bish
CHG:,CHG:,CHG: Paul Byrnes,CHG, Paul Byrnes,,Paul,,Byrnes,,Paul,Paul Byrnes
CON:,CON:,CON: J. Loretta Baker,CON, J. Loretta Baker,,J.,Loretta,Baker,,Loretta,Loretta Baker
ADM:,ADM:,ADM: James Copeland,ADM, James Copeland,,James,,Copeland,,James,James Copeland
AMB:,AMB:,AMB: Harry W. Shlaudeman,AMB, Harry W. Shlaudeman,,Harry,W.,Shlaudeman,,Harry,Harry Shlaudeman
ADM:,ADM:,ADM: Harold E. Vickers,ADM, Harold E. Vickers,,Harold,E.,Vickers,,Harold,Harold Vickers
DCM:,DCM:,DCM: Claus W. Ruser,DCM, Claus W. Ruser,,Claus,W.,Ruser,,Claus,Claus Ruser
RSO:,RSO:,RSO: Raymond J. Russell,RSO, Raymond J. Russell,,Raymond,J.,Russell,,Raymond,Raymond Russell
ECO:,ECO:,ECO: Lewis R. Townsend,ECO, Lewis R. Townsend,,Lewis,R.,Townsend,,Lewis,Lewis Townsend
SCI:,SCI:,SCI: Lawrence,SCI, Lawrence,,Lawrence,,,,Lawrence,Lawrence 
