year,rank,name,first_clean,middle,last,firstlast
1965,AMBASSADOR, John M. Steeves,John,M.,Steeves,John Steeves
1965,DEPUTY CHIEF OF MISSION, William D. Brewer,William,D.,Brewer,William Brewer
1965,POLITICAL SECTION," Howard J. Ashford, Jr.",Howard,J.,Ashford,Howard Ashford
1965,AID MISSION DIRECTOR, Delmas H. Nucker,Delmas,H.,Nucker,Delmas Nucker
1965,AMBASSADOR, William J. Porter,William,J.,Porter,William Porter
1965,DEPUTY CHIEF OF MISSION, John F. Root,John,F.,Root,John Root
1965,POLITICAL SECTION, Peter R. Chase,Peter,R.,Chase,Peter Chase
1965,ECONOMIC SECTION," Frederic K. Lundy, Jr.",Frederic,K.,Lundy,Frederic Lundy
1965,CONSULATE GENERAL, Luanda,Luanda,,,Luanda 
1965,CONSUL GENERAL, Henry C. Reed,Henry,C.,Reed,Henry Reed
1965,DEPUTY PRINCIPAL OFFICER, Robert H. Flenner,Robert,H.,Flenner,Robert Flenner
1965,ECONOMIC SECTION," George T. Colman, Jr.",George,T.,Colman,George Colman
1965,AMBASSADOR, Edwin M. Martin,Edwin,M.,Martin,Edwin Martin
1965,DEPUTY CHIEF OF MISSION," Charles W. Adair, Jr.",Charles,W.,Adair,Charles Adair
1965,POLITICAL SECTION," Ellwood M. Rabenold, Jr.",Ellwood,M.,Rabenold,Ellwood Rabenold
1965,ECONOMIC SECTICN, John Heilman,John,,Heilman,John Heilman
1965,COMMERCIAL SECTION, John F. Troy,John,F.,Troy,John Troy
1965,AGRICULTURAL ATTACHE, Quentin R. Bates,Quentin,R.,Bates,Quentin Bates
1965,DEPUTY CHIEF OF MISSION, Jack W. Lydman,Jack,W.,Lydman,Jack Lydman
1965,POLITICAL SECTION, Doyle V. Martin,Doyle,V.,Martin,Doyle Martin
1965,ECONOMIC SECTION, Eddie W. Schodt,Eddie,W.,Schodt,Eddie Schodt
1965,AGRICULTURAL ATTACHE, William L. Rodman,William,L.,Rodman,William Rodman
1965,CONSULATE GENERAL, Melbourne,Melbourne,,,Melbourne 
1965,CONSUL GENERAL, Lincoln White,Lincoln,,White,Lincoln White
1965,ECONOMIC SECTION, Norman L. Smith,Norman,L.,Smith,Norman Smith
1965,COMMERCIAL SECTION, Edward C. Howatt,Edward,C.,Howatt,Edward Howatt
1965,CONSULATE GENERAL, Sydney,Sydney,,,Sydney 
1965,CONSUL GENERAL, Edward A. Bolster,Edward,A.,Bolster,Edward Bolster
1965,COMMERCIAL SECTION, Robert A. Thayer,Robert,A.,Thayer,Robert Thayer
1965,AMBASSADOR, James W. Riddleberger,James,W.,Riddleberger,James Riddleberger
1965,DEPUTY CHIEF OF MISSION, Robert M. Brandin,Robert,M.,Brandin,Robert Brandin
1965,ECONOMIC SECTION, Clinton L. Olson,Clinton,L.,Olson,Clinton Olson
1965,COMMERCIAL SECTION, Henry W. Prentice,Henry,W.,Prentice,Henry Prentice
1965,CONSULATE GENERAL, Nassau,Nassau,,,Nassau 
1965,CONSUL GENERAL, J. Lawrence Barnard,Lawrence,Lawrence,Barnard,Lawrence Barnard
1965,AMBASSADOR, Douglas MacArthur II,Douglas,,MacArthur,Douglas MacArthur
1965,DEPUTY CHIEF OF MISSION, John M. McSweeney,John,M.,McSweeney,John McSweeney
1965,POLITICAL SECTION, Robert M. Beaudry,Robert,M.,Beaudry,Robert Beaudry
1965,ECONOMIC SECTION, Chris G. Petrow,Chris,G.,Petrow,Chris Petrow
1965,COMMERCIAL SECTION, E. Paul Hawk,Paul,Paul,Hawk,Paul Hawk
1965,AGRICULTURAL ATTACHE, Clayton E. Whipple,Clayton,E.,Whipple,Clayton Whipple
1965,CONSULATE GENERAL, Antwerp,Antwerp,,,Antwerp 
1965,CONSUL GENERAL, Arthur A. Compton,Arthur,A.,Compton,Arthur Compton
