year,rank,name,first_clean,middle,last,firstlast,gender_guess
1965,AMBASSADOR, John M. Steeves,John,M.,Steeves,John Steeves,male
1965,DEPUTY CHIEF OF MISSION, William D. Brewer,William,D.,Brewer,William Brewer,male
1965,POLITICAL SECTION," Howard J. Ashford, Jr.",Howard,J.,Ashford,Howard Ashford,male
1965,AID MISSION DIRECTOR, Delmas H. Nucker,Delmas,H.,Nucker,Delmas Nucker,male
1965,AMBASSADOR, William J. Porter,William,J.,Porter,William Porter,male
1965,DEPUTY CHIEF OF MISSION, John F. Root,John,F.,Root,John Root,male
1965,POLITICAL SECTION, Peter R. Chase,Peter,R.,Chase,Peter Chase,male
1965,ECONOMIC SECTION," Frederic K. Lundy, Jr.",Frederic,K.,Lundy,Frederic Lundy,male
1965,CONSULATE GENERAL, Luanda,Luanda,,,Luanda ,unknown
1965,CONSUL GENERAL, Henry C. Reed,Henry,C.,Reed,Henry Reed,male
1965,DEPUTY PRINCIPAL OFFICER, Robert H. Flenner,Robert,H.,Flenner,Robert Flenner,male
1965,ECONOMIC SECTION," George T. Colman, Jr.",George,T.,Colman,George Colman,male
1965,AMBASSADOR, Edwin M. Martin,Edwin,M.,Martin,Edwin Martin,male
1965,DEPUTY CHIEF OF MISSION," Charles W. Adair, Jr.",Charles,W.,Adair,Charles Adair,male
1965,POLITICAL SECTION," Ellwood M. Rabenold, Jr.",Ellwood,M.,Rabenold,Ellwood Rabenold,male
1965,ECONOMIC SECTICN, John Heilman,John,,Heilman,John Heilman,male
1965,COMMERCIAL SECTION, John F. Troy,John,F.,Troy,John Troy,male
1965,AGRICULTURAL ATTACHE, Quentin R. Bates,Quentin,R.,Bates,Quentin Bates,male
1965,DEPUTY CHIEF OF MISSION, Jack W. Lydman,Jack,W.,Lydman,Jack Lydman,male
1965,POLITICAL SECTION, Doyle V. Martin,Doyle,V.,Martin,Doyle Martin,male
1965,ECONOMIC SECTION, Eddie W. Schodt,Eddie,W.,Schodt,Eddie Schodt,male
1965,AGRICULTURAL ATTACHE, William L. Rodman,William,L.,Rodman,William Rodman,male
1965,CONSULATE GENERAL, Melbourne,Melbourne,,,Melbourne ,unknown
1965,CONSUL GENERAL, Lincoln White,Lincoln,,White,Lincoln White,male
1965,ECONOMIC SECTION, Norman L. Smith,Norman,L.,Smith,Norman Smith,male
1965,COMMERCIAL SECTION, Edward C. Howatt,Edward,C.,Howatt,Edward Howatt,male
1965,CONSULATE GENERAL, Sydney,Sydney,,,Sydney ,mostly_male
1965,CONSUL GENERAL, Edward A. Bolster,Edward,A.,Bolster,Edward Bolster,male
1965,COMMERCIAL SECTION, Robert A. Thayer,Robert,A.,Thayer,Robert Thayer,male
1965,AMBASSADOR, James W. Riddleberger,James,W.,Riddleberger,James Riddleberger,male
1965,DEPUTY CHIEF OF MISSION, Robert M. Brandin,Robert,M.,Brandin,Robert Brandin,male
1965,ECONOMIC SECTION, Clinton L. Olson,Clinton,L.,Olson,Clinton Olson,male
1965,COMMERCIAL SECTION, Henry W. Prentice,Henry,W.,Prentice,Henry Prentice,male
1965,CONSULATE GENERAL, Nassau,Nassau,,,Nassau ,unknown
1965,CONSUL GENERAL, J. Lawrence Barnard,Lawrence,Lawrence,Barnard,Lawrence Barnard,male
1965,AMBASSADOR, Douglas MacArthur II,Douglas,,MacArthur,Douglas MacArthur,male
1965,DEPUTY CHIEF OF MISSION, John M. McSweeney,John,M.,McSweeney,John McSweeney,male
1965,POLITICAL SECTION, Robert M. Beaudry,Robert,M.,Beaudry,Robert Beaudry,male
1965,ECONOMIC SECTION, Chris G. Petrow,Chris,G.,Petrow,Chris Petrow,mostly_male
1965,COMMERCIAL SECTION, E. Paul Hawk,Paul,Paul,Hawk,Paul Hawk,male
1965,AGRICULTURAL ATTACHE, Clayton E. Whipple,Clayton,E.,Whipple,Clayton Whipple,male
1965,CONSULATE GENERAL, Antwerp,Antwerp,,,Antwerp ,unknown
1965,CONSUL GENERAL, Arthur A. Compton,Arthur,A.,Compton,Arthur Compton,male
1965,ECONOMIC SECTION, Charles T. Skow,Charles,T.,Skow,Charles Skow,male
1965,COMMERCIAL SECTION, Leslie A. Klieforth,Leslie,A.,Klieforth,Leslie Klieforth,mostly_female
1965,CONSULATE GENERAL, Hamilton,Hamilton,,,Hamilton ,male
1965,CONSUL GENERAL, George W. Renchard,George,W.,Renchard,George Renchard,male
1965,ECONOMIC SECTION," Samuel M. Janney, Jr.",Samuel,M.,Janney,Samuel Janney,male
1965,AMBASSADOR, Douglas Henderson,Douglas,,Henderson,Douglas Henderson,male
1965,DEPUTY CHIEF OF MISSION, Robert A. Hurwitch,Robert,A.,Hurwitch,Robert Hurwitch,male
1965,ECONOMIC SECTION, William D. Broderick,William,D.,Broderick,William Broderick,male
1965,COMMERCIAL SECTION, William G. Gibson,William,G.,Gibson,William Gibson,male
1965,AID MISSION DIRECTOR, Alexander Firfer,Alexander,,Firfer,Alexander Firfer,male
1965,AMBASSADOR, Lincoln Gordon,Lincoln,,Gordon,Lincoln Gordon,male
1965,DEPUTY CHIEF OF MISSION, John G. Mein,John,G.,Mein,John Mein,male
1965,POLITICAL SECTION, John Keppel,John,,Keppel,John Keppel,male
